,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist,song_name,cluster
185,0.527,0.821,7,-4.13,1,0.03,0.0027,5.1e-06,0.107,0.363,131.686,Keane,This Is The Last Time,0
186,0.658,0.616,5,-8.027,1,0.0648,0.526,0.00172,0.108,0.493,131.055,Keane,O.M.L. (feat. DESTIN CONRAD),1
187,0.397,0.544,0,-6.284,1,0.0555,0.377,1.97e-06,0.348,0.341,87.81,Keane,Chances,2
188,0.295,0.0431,2,-29.28,1,0.0403,0.995,0.946,0.0896,0.197,173.623,Keane,The Destination,6
189,0.535,0.725,8,-5.861,0,0.0302,0.013,0.0,0.156,0.509,122.84,Keane,Sovereign Light Café,4
190,0.437,0.574,9,-6.611,1,0.0259,0.0328,0.000376,0.102,0.271,172.031,Keane,Somewhere Only We Know - BBC Steve Lamacq Session / 2003,0
191,0.343,0.0915,9,-27.836,1,0.0375,0.988,0.937,0.11,0.316,110.221,Keane,Just One More Time,6
192,0.471,0.843,4,-3.592,1,0.0295,0.000734,1.91e-05,0.163,0.484,137.92,Keane,Bend & Break,0
193,0.515,0.809,1,-5.051,1,0.0288,0.00188,9.86e-06,0.0983,0.237,111.985,Keane,Silenced By The Night,0
194,0.864,0.77,11,-8.426,0,0.205,0.008,0.0,0.0396,0.961,121.978,Keane,Diana,4
195,0.408,0.729,1,-4.918,1,0.0302,0.00731,3.98e-06,0.172,0.279,145.055,Keane,A Bad Dream,0
196,0.332,0.41,4,-6.988,1,0.0344,0.609,0.00014,0.0963,0.0715,75.042,Keane,Bedshaped,2
197,0.771,0.544,5,-4.879,0,0.312,0.332,4.14e-05,0.192,0.484,94.044,Keane,Often,3
198,0.544,0.413,5,-7.873,1,0.0255,0.0437,0.0146,0.121,0.236,143.958,Keane,We Might As Well Be Strangers,0
199,0.394,0.345,2,-12.042,1,0.0334,0.914,2.05e-05,0.717,0.0527,107.647,Keane,With Or Without You - BBC Jo Whiley Session / 2004,2
200,0.537,0.784,7,-5.705,1,0.0299,0.000454,0.00015,0.239,0.582,129.986,Keane,Your Eyes Open,0
201,0.522,0.637,8,-8.956,1,0.0354,0.398,2.76e-06,0.0993,0.391,141.919,Keane,"Tear Up This Town - Orchestral Version / From ""A Monster Calls"" Original Motion Picture Soundtrack",0
202,0.478,0.644,3,-6.885,0,0.0458,0.42,0.00507,0.162,0.571,124.11,Keane,Open Up,4
203,0.528,0.565,0,-8.857,1,0.0313,0.512,0.000333,0.0707,0.105,141.988,Keane,She Has No Time,2
204,0.472,0.521,8,-6.042,0,0.0288,0.182,1.52e-05,0.0882,0.0627,143.997,Keane,Try Again,0
